,feature,distribution_type,params,label
0,feature_2,beta,"(0.11776839045890578, 149.74182795203535, -2.186219826674158e-25, 13.293787100220843)",5
1,feature_4,beta,"(0.2711632488092937, 465.4069516854168, -1.928413426685931e-26, 25.764003196808677)",5
2,feature_5,beta,"(0.21602060508177978, 625.918439600516, -4.8466346394266585e-26, 49.46829100097167)",5
3,feature_6,beta,"(14.256280670273213, 6.9058459231954, 1.4546109554020226, 37.135419839346206)",5
4,feature_7,beta,"(0.4894176208554678, 528.8948875881285, -8.432597378635565e-30, 27.729951939576868)",5
5,feature_8,beta,"(0.11519992942043017, 197.06722892055205, -4.692324490715444e-28, 9.02517108799017)",5
6,feature_9,beta,"(0.3018378051146521, 204.95938188638956, -5.830462692881626e-28, 14.121254271955308)",5
7,feature_10,beta,"(14.752993151276618, 6.344337461684533, 0.19547176413440231, 38.414647855420824)",5
8,feature_2,beta,"(14.821670613196302, 7.86665989995932, -6.550395691165864, 25.11405852884259)",8
9,feature_4,beta,"(16.236326591296894, 5.212638487058973, -7.674774884350769, 21.942586783183785)",8
10,feature_5,beta,"(23.52168539780558, 8.747681903570191, -11.557148617692757, 28.4391602554681)",8
11,feature_6,beta,"(59.93279665321238, 210.31799167534894, -2.944991811823776, 90.59752267723985)",8
12,feature_7,beta,"(10.586087198388766, 4.794197634050963, -3.7116162756647, 18.80749352724721)",8
13,feature_8,beta,"(8.971325076435694, 5.050466430998716, -2.196282945155472, 16.97370734454808)",8
14,feature_9,beta,"(11.521370998879878, 4.714787658503679, -5.612409026730443, 22.07673041172474)",8
15,feature_10,chi2,"(147.0732593098425, -5.332880052605558, 0.15516934069147298)",8
